KODE GURU,MATA PELAJARAN,,,,,,,,
,,,,,,,,,
1,Aqidah Akhlak,,,,,,,,
1, Dasar Teknik Mesin-1,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
2,Bahasa Indonesia,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
3,Matematika ,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
4,Fiqih,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
4,,,,,,,,,
5,Bahasa Inggris dan Bahasa Asing Lainnya ,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
5,,,,,,,,,
6,Teknik Pemesinan Frais ,,,,,,,,
6,Teknik Pemesinan Bubut ,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
6,,,,,,,,,
7,Pendidikan Pancasila,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
7,,,,,,,,,
8,Teknik Pemesinan Bubut ,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
8,,,,,,,,,
9,Pemeliharaan Mesin Kendaraan Ringan ,,,,,,,,
9,Pemeliharaan Kelistrikan Kendaraan Ringan ,,,,,,,,
9,Projek Kreatif dan Kewirausahaan ,,,,,,,,
9,Gambar Teknik Manufaktur ,,,,,,,,
9,,,,,,,,,
9,,,,,,,,,
9,,,,,,,,,
9,,,,,,,,,
9,,,,,,,,,
9,,,,,,,,,
10,IPAS,,,,,,,,
10,Bahasa Jawa,,,,,,,,
10,Dasar Kimia Analisis-2,,,,,,,,
10,Analisis Mikrobiologi ,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
10,,,,,,,,,
11,Teknik Pemesinan Bubut ,,,,,,,,0
11,Teknik Pemesinan Gerinda ,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
11,,,,,,,,,
12,Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan ,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
12,,,,,,,,,
13,IPAS,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
14,Matematika ,,,,,,,,
14,Informatika,,,,,,,,
14,Pengelolaan SDM,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
15,Teknik Pemesinan Bubut ,,,,,,,,
15,Teknik Pemesinan Gerinda ,,,,,,,,
15,Teknik Pengelasan,,,,,,,,
15,Teknik Mekanik Mesin Industri,,,,,,,,
15,,,,,,,,,
15,,,,,,,,,
15,,,,,,,,,
15,,,,,,,,,
15,,,,,,,,,
15,,,,,,,,,
16,Bahasa Indonesia,,,,,,,,
16,Sejarah,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
17,Dasar-Dasar Teknik Otomotif-2,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
17,,,,,,,,,
18,Bahasa Inggris dan Bahasa Asing Lainnya ,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
18,,,,,,,,,
19,Dasar-dasar Desain Komunikasi Visual-2,,,,,,,,
19,Dasar Desain dan Komunikasi,,,,,,,,
19,Karya Desain,,,,,,,,
19,Proses Produksi Desain,,,,,,,,
19,Projek Kreatif dan Kewirausahaan ,,,,,,,,
19,Animasi,,,,,,,,
19,,,,,,,,,
19,,,,,,,,,
19,,,,,,,,,
19,,,,,,,,,
20,Al Quran Hadits,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
20,,,,,,,,,
21,Aqidah Akhlak,,,,,,,,
21,Pendidikan Pancasila,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
21,,,,,,,,,
22,Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan ,,,,,,,,
22,Teknik Bodi Kendaraan Ringan,,,,,,,,
22,Gambar Teknik Manufaktur ,,,,,,,,
22,Teknik Pemesinan Nonkonvensional,,,,,,,,
22,,,,,,,,,
22,,,,,,,,,
22,,,,,,,,,
22,,,,,,,,,
22,,,,,,,,,
22,,,,,,,,,
23,Dasar Manajemen Perkantoran dan Layanan Bisnis-2,,,,,,,,
23,Komunikasi Kantor,,,,,,,,
23,Pengelolaan Humas dan Keprotokolan ,,,,,,,,
23,Akuntansi Perusahaan Jasa,,,,,,,,
24,"Pendidikan Jasmani, Olahraga, dan Kesehatan ",,,,,,,,
26,Informatika,,,,,,,,
26,Dasar-Dasar Desain Komunikasi Visual-1,,,,,,,,
26,Design Brief,,,,,,,,
26,Proses Produksi Desain,,,,,,,,
26,Projek Kreatif dan Kewirausahaan ,,,,,,,,
26,Produksi Film,,,,,,,,
27,Seni Budaya ,,,,,,,,
27,Matematika ,,,,,,,,
28,Dasar Manajemen Perkantoran dan Layanan Bisnis-1,,,,,,,,
28,Pengelolaan Kearsipan,,,,,,,,
28,Bisnis dan Keuangan ,,,,,,,,
28,Akuntansi Perusahaan Jasa,,,,,,,,
28,Bisnis Digital,,,,,,,,
29,IPAS,,,,,,,,
29,Dasar Kimia Analisis-1,,,,,,,,
29,Analisis Kimia Instrumen ,,,,,,,,
29,Projek Kreatif dan Kewirausahaan,,,,,,,,
29,Pengolahan Limbah,,,,,,,,
29,Pendidikan Pancasila,,,,,,,,
30,"Pendidikan Jasmani, Olahraga, dan Kesehatan ",,,,,,,,
30,Pendidikan Pancasila,,,,,,,,
31,IPAS,,,,,,,,
31,Analisis Kuantitatif Konvensional ,,,,,,,,
31,Analisis Proksimat ,,,,,,,,
31,Analisis Kimia Instrumen ,,,,,,,,
31,Projek Kreatif dan Kewirausahaan,,,,,,,,
31,Proses Industri Kimia,,,,,,,,
32,Matematika ,,,,,,,,
32,Bisnis Digital,,,,,,,,
32,Teknologi Perkantoran,,,,,,,,
32,Bisnis Digital,,,,,,,,
33,Al Quran Hadits,,,,,,,,
34,Projek Kreatif dan Kewirausahaan ,,,,,,,,
34,Teknik Pengelasan,,,,,,,,
34,Teknik Mekanik Mesin Industri,,,,,,,,
35,Teknik Pemesinan Frais ,,,,,,,,
35,Projek Kreatif dan Kewirausahaan ,,,,,,,,
36,Bahasa Indonesia ,,,,,,,,
36,Projek Kreatif dan Kewirausahaan ,,,,,,,,
37,Administrasi Umum,,,,,,,,
37,Pengelolaan Sarana dan Prasarana ,,,,,,,,
37,Projek Kreatif dan Kewirausahaan,,,,,,,,
37,,,,,,,,,
37,,,,,,,,,
37,,,,,,,,,
37,,,,,,,,,
37,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
38,,,,,,,,,
39,Dasar Teknik Logistik-1,,,,,,,,
39,Teknik Pengadaan Barang,,,,,,,,
39,Perdagangan Internasional,,,,,,,,
39,Projek Kreatif dan Kewirausahaan,,,,,,,,
39, Dasar Teknik Mesin-2,,,,,,,,
39,,,,,,,,,
39,,,,,,,,,
39,,,,,,,,,
39,,,,,,,,,
39,,,,,,,,,
40,Dasar Teknik Logistik-2,,,,,,,,
40,Sistem Pergudangan,,,,,,,,
40,Teknik Pengiriman Barang,,,,,,,,
40,Sistem Informasi Logistik,,,,,,,,
40,Bisnis Retail,,,,,,,,
40,,,,,,,,,
40,,,,,,,,,
40,,,,,,,,,
40,,,,,,,,,
40,,,,,,,,,
41,Informatika,,,,,,,,
41,Perangkat Lunak desain,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
41,,,,,,,,,
42,Bahasa inggris dan Bahasa Asing Lainnya,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
42,,,,,,,,,
43,Fiqih,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
43,,,,,,,,,
44,Bahasa Jepang,,,,,,,,
44,Sejarah,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
44,,,,,,,,,
45,Teknik Pemesinan Nonkonvensional,,,,,,,,
46,Dasar-Dasar Teknik Otomotif-1,,,,,,,,
46,Culture Industry,,,,,,,,
46,Projek Kreatif dan Kewirausahaan,,,,,,,,
47,Matematika,,,,,,,,
47,Sejarah ,,,,,,,,
48,Dasar Teknik Mesin-2,,,,,,,,
48,Projek Kreatif dan Kewirausahaan,,,,,,,,
48,,,,,,,,,
48,,,,,,,,,
48,,,,,,,,,
48,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
49,Pemeliharaan Mesin Kendaraan Ringan ,,,,,,,,
49,Teknik Sepeda Motor,,,,,,,,
49,Culture Industry,,,,,,,,
49, Dasar Teknik Mesin-1,,,,,,,,
