"Kode Mapel","Nama Mapel",Kelas,"Jam Per Minggu",Deskripsi,Semester,"Tahun Ajaran",Status,"NIK/Kode Guru"
AQIDAH_AKHLAK,"Aqidah Akhlak",,2,,ganjil,2025/2026,aktif,1
DASAR_TEKNIK_MESIN_1,"Dasar Teknik Mesin-1",,2,,ganjil,2025/2026,aktif,1
BAHASA_INDONESIA,"Bahasa Indonesia",,2,,ganjil,2025/2026,aktif,2
MATEMATIKA,Matematika,,2,,ganjil,2025/2026,aktif,3
FIQIH,Fiqih,,2,,ganjil,2025/2026,aktif,4
BAHASA_INGGRIS_DAN_BAHASA_ASIN,"Bahasa Inggris dan Bahasa Asing Lainnya",,2,,ganjil,2025/2026,aktif,5
TEKNIK_PEMESINAN_FRAIS,"Teknik Pemesinan Frais",,2,,ganjil,2025/2026,aktif,6
TEKNIK_PEMESINAN_BUBUT,"Teknik Pemesinan Bubut",,2,,ganjil,2025/2026,aktif,6
PENDIDIKAN_PANCASILA,"Pendidikan Pancasila",,2,,ganjil,2025/2026,aktif,7
TEKNIK_PEMESINAN_BUBUT,"Teknik Pemesinan Bubut",,2,,ganjil,2025/2026,aktif,8
PEMELIHARAAN_MESIN_KENDARAAN_R,"Pemeliharaan Mesin Kendaraan Ringan",,2,,ganjil,2025/2026,aktif,9
PEMELIHARAAN_KELISTRIKAN_KENDA,"Pemeliharaan Kelistrikan Kendaraan Ringan",,2,,ganjil,2025/2026,aktif,9
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,9
GAMBAR_TEKNIK_MANUFAKTUR,"Gambar Teknik Manufaktur",,2,,ganjil,2025/2026,aktif,9
IPAS,IPAS,,2,,ganjil,2025/2026,aktif,10
BAHASA_JAWA,"Bahasa Jawa",,2,,ganjil,2025/2026,aktif,10
DASAR_KIMIA_ANALISIS_2,"Dasar Kimia Analisis-2",,2,,ganjil,2025/2026,aktif,10
ANALISIS_MIKROBIOLOGI,"Analisis Mikrobiologi",,2,,ganjil,2025/2026,aktif,10
TEKNIK_PEMESINAN_BUBUT,"Teknik Pemesinan Bubut",,2,,ganjil,2025/2026,aktif,11
TEKNIK_PEMESINAN_GERINDA,"Teknik Pemesinan Gerinda",,2,,ganjil,2025/2026,aktif,11
PEMELIHARAAN_SASIS_DAN_PEMINDA,"Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan",,2,,ganjil,2025/2026,aktif,12
IPAS,IPAS,,2,,ganjil,2025/2026,aktif,13
MATEMATIKA,Matematika,,2,,ganjil,2025/2026,aktif,14
INFORMATIKA,Informatika,,2,,ganjil,2025/2026,aktif,14
PENGELOLAAN_SDM,"Pengelolaan SDM",,2,,ganjil,2025/2026,aktif,14
TEKNIK_PEMESINAN_BUBUT,"Teknik Pemesinan Bubut",,2,,ganjil,2025/2026,aktif,15
TEKNIK_PEMESINAN_GERINDA,"Teknik Pemesinan Gerinda",,2,,ganjil,2025/2026,aktif,15
TEKNIK_PENGELASAN,"Teknik Pengelasan",,2,,ganjil,2025/2026,aktif,15
TEKNIK_MEKANIK_MESIN_INDUSTRI,"Teknik Mekanik Mesin Industri",,2,,ganjil,2025/2026,aktif,15
BAHASA_INDONESIA,"Bahasa Indonesia",,2,,ganjil,2025/2026,aktif,16
SEJARAH,Sejarah,,2,,ganjil,2025/2026,aktif,16
DASAR_DASAR_TEKNIK_OTOMOTIF_2,"Dasar-Dasar Teknik Otomotif-2",,2,,ganjil,2025/2026,aktif,17
BAHASA_INGGRIS_DAN_BAHASA_ASIN,"Bahasa Inggris dan Bahasa Asing Lainnya",,2,,ganjil,2025/2026,aktif,18
DASAR_DASAR_DESAIN_KOMUNIKASI,"Dasar-dasar Desain Komunikasi Visual-2",,2,,ganjil,2025/2026,aktif,19
DASAR_DESAIN_DAN_KOMUNIKASI,"Dasar Desain dan Komunikasi",,2,,ganjil,2025/2026,aktif,19
KARYA_DESAIN,"Karya Desain",,2,,ganjil,2025/2026,aktif,19
PROSES_PRODUKSI_DESAIN,"Proses Produksi Desain",,2,,ganjil,2025/2026,aktif,19
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,19
ANIMASI,Animasi,,2,,ganjil,2025/2026,aktif,19
AL_QURAN_HADITS,"Al Quran Hadits",,2,,ganjil,2025/2026,aktif,20
AQIDAH_AKHLAK,"Aqidah Akhlak",,2,,ganjil,2025/2026,aktif,21
PENDIDIKAN_PANCASILA,"Pendidikan Pancasila",,2,,ganjil,2025/2026,aktif,21
PEMELIHARAAN_SASIS_DAN_PEMINDA,"Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan",,2,,ganjil,2025/2026,aktif,22
TEKNIK_BODI_KENDARAAN_RINGAN,"Teknik Bodi Kendaraan Ringan",,2,,ganjil,2025/2026,aktif,22
GAMBAR_TEKNIK_MANUFAKTUR,"Gambar Teknik Manufaktur",,2,,ganjil,2025/2026,aktif,22
TEKNIK_PEMESINAN_NONKONVENSION,"Teknik Pemesinan Nonkonvensional",,2,,ganjil,2025/2026,aktif,22
